品牌,型号,CADR 灰尘(m3/h),CADR 花粉,CADR 烟雾,高度(mm),宽度(mm),深度(mm),重量(kg),颜色,最小噪音(dB),最大噪音(dB),最小功率(W),最大功率(W),最大风量,材料,原产地,滤网寿命,滤网材料,滤网更新提醒,支持睡眠模式,支持遥控,支持定时,空气质量显示,风档,图片,数据来源
SKG,4204,,,,,,,5.0,咖啡色,,35.0,,53.0,,ABS,广东顺德,,,支持,true,true,,,,http://img10.360buyimg.com/n1/jfs/t151/365/1059572809/233106/3c8c835d/53a01986N8f8e5098.jpg,http://item.jd.com/911610.html
SKG,4204,,,,480,350,160,5,咖啡色,,,,53,,ABS,,,,,,,,,,http://2c.zol-img.com.cn/product/125_160x120/246/cedkxbJGH8yrs.jpg,http://detail.zol.com.cn//368/367717/param.shtml
SKG,4207,,,,650,336,186,8.3,,,,,45,,ABS,,,,,,,,,,http://2d.zol-img.com.cn/product/125_160x120/265/ceFIjWoKWAQX6.jpg,http://detail.zol.com.cn//368/367718/param.shtml
SKG,4208,,,,615,337,195,6.5,香槟金,,,,45,,,,,HEPA,,,,,,,http://2e.zol-img.com.cn/product/125_160x120/620/cexqmq37XYPc.jpg,http://detail.zol.com.cn//367/366749/param.shtml
SKG,4210,,,,615,337,195,,咖啡色,,,,,,,,,,,,,,,,http://2b.zol-img.com.cn/product/125_160x120/491/ceVJjoXEm73Nw.jpg,http://detail.zol.com.cn//369/368185/param.shtml
SKG,4212,,,,,,,6.9,香槟色,,,,40.0,,ABS,广东顺德,,,支持,true,true,,,,http://img12.360buyimg.com/n1/jfs/t157/288/1005062103/118633/b57ff3b9/53a01981Nb093ecbd.jpg,http://item.jd.com/911607.html
SKG,4212,,,,630,360,195,6.9,,,,,40,,ABS,,,,,,,,,,http://2d.zol-img.com.cn/product/125_160x120/289/ceLp0KsmdnzYQ.jpg,http://detail.zol.com.cn//368/367719/param.shtml
SKG,4219,,,,70,280,182,0.8,黑色,,,,4,,,,,,,,,,,,http://2a.zol-img.com.cn/product/133_160x120/786/ceHz7RVhosWSY.jpg,http://detail.zol.com.cn//379/378817/param.shtml
SKG,4222,,,,,,,7.5,红色,,45.0,,68.0,,ABS,广东顺德,,,支持,,true,,,,http://img11.360buyimg.com/n1/jfs/t208/67/1027555409/124181/2c310c66/53a0196eNc4cd85ea.jpg,http://item.jd.com/1044541.html
SKG,4229,,,,615,337,195,0.3,香槟色,,,,3,,,,,,,,,,,,http://2b.zol-img.com.cn/product/125_160x120/293/ceNoPIk5cIek.jpg,http://detail.zol.com.cn//368/367720/param.shtml
SKG,4240,,,,,,,7.5,香槟,,,,25.0,,,广东顺德,,,,,,,,,http://img14.360buyimg.com/n1/g13/M05/00/1C/rBEhUlNnevUIAAAAAAMRHckXUB8AAM4pQE7V2sAAxE1643.jpg,http://item.jd.com/1044534.html
SKG,4248,,,,48,199,130,0.6,,,,,6,,,,,,,,,,,,http://2d.zol-img.com.cn/product/125_160x120/307/ceBcbroQuw3g.jpg,http://detail.zol.com.cn//368/367721/param.shtml
SKG,4260,255,,,,,,6.0,香槟金,,,,52.0,,,广东顺德,,,支持,true,true,,true,,http://img10.360buyimg.com/n1/jfs/t154/226/1022658578/151925/e44b1b17/53a01975N2193d090.jpg,http://item.jd.com/1076745.html
SKG,4260,,,,235,595,336,6,香槟色,,,,52,,,,,HEPA,,,,,,,http://2b.zol-img.com.cn/product/133_160x120/757/ceahrelKbSY.jpg,http://detail.zol.com.cn//379/378815/param.shtml
SKG,SKG4202,,,,320,216,522,4.9,紫色,,,,50,,,佛山,,HEPA滤网,有,支持,支持,支持,有,-1,http://image.suning.cn/content/catentries/00000000010403/000000000104038186/fullimage/000000000104038186_1.jpg,http://product.suning.com/104038186.html
SKG,SKG4203,,,,,,,7.8,香槟色,,,,80.0,,ABS,顺德,,,,,true,,,,http://img12.360buyimg.com/n1/jfs/t145/298/1024926841/109192/b1395601/53a0192cNa3ccc029.jpg,http://item.jd.com/840642.html
SKG,SKG4207,,,,,,,6.8,香槟金,,35.0,,45.0,,ABS,广东顺德,,,支持,true,true,,true,,http://img11.360buyimg.com/n1/jfs/t169/101/1048666385/140278/648e6930/53a01934N9c54a161.jpg,http://item.jd.com/898801.html
SKG,SKG4208,,,,,,,6.5,香槟金,,35.0,,45.0,,ABS,广东顺德,,,支持,true,,,,,http://img12.360buyimg.com/n1/jfs/t208/359/1007367339/113913/3265fd5f/53a0193aN1faee503.jpg,http://item.jd.com/898802.html
SKG,SKG4208,,,,337,195,615,6.5,卡其色,,,,45,,,佛山,,HEPA滤网,有,支持,支持,支持,有,-1,http://image.suning.cn/content/catentries/00000000010425/000000000104251998/fullimage/000000000104251998_1.jpg,http://product.suning.com/104251998.html
SKG,SKG4209,,,,,,,6.4,白色,,35.0,,45.0,,ABS,广东顺德,,,,,,,,,http://img10.360buyimg.com/n1/g17/M00/00/13/rBEbSFNqHLUIAAAAAAFzLAzRWRgAAAHrwMAvtMAAXNE934.jpg,http://item.jd.com/876480.html
SKG,SKG4209,,,,187,335,578,6.4,白色,,,,45,,,佛山,,活性炭滤网,无,支持,支持,支持,有,-1,http://image.suning.cn/content/catentries/00000000010407/000000000104078127/fullimage/000000000104078127_1.jpg,http://product.suning.com/104078127.html
SKG,SKG4210,,,,,,,7.9,咖啡色,,35.0,,45.0,,ABS,广东顺德,,,支持,true,,,true,,http://img13.360buyimg.com/n1/jfs/t205/19/1009932194/178570/6fe174dd/53a0197bN5b81a035.jpg,http://item.jd.com/901523.html
SKG,SKG4210,,,,615,337,195,6.5,紫色,,,,45,,,佛山,12.0,HEPA滤网,有,支持,不支持,支持,有,-1,http://image.suning.cn/content/catentries/00000000010519/000000000105194355/fullimage/000000000105194355_1.jpg,http://product.suning.com/105194355.html
SKG,SKG4212,,,,435,255,690,6.9,卡其色,,,,40,,,佛山,,活性炭滤网,有,支持,支持,支持,有,-1,http://image.suning.cn/content/catentries/00000000010403/000000000104038189/fullimage/000000000104038189_1.jpg,http://product.suning.com/104038189.html
SKG,SKG4213,,,,405,255,575,4.5,蓝色,,,,40,,,佛山,,HEPA滤网,有,支持,支持,支持,有,-1,http://image.suning.cn/content/catentries/00000000010403/000000000104038190/fullimage/000000000104038190_1.jpg,http://product.suning.com/104038190.html
SKG,SKG4878,,,,405,255,657,6.8,金色,,,,58,,,佛山,6.0,"HEPA滤网,活性炭滤网",无,支持,不支持,支持,有,-1,http://image.suning.cn/content/catentries/00000000012089/000000000120893883/fullimage/000000000120893883_1.jpg,http://product.suning.com/120893883.html
TCL,TCL-360,300,,,,,,8.2,白色,,45.0,,65.0,,,佛山,,,,true,true,,true,,http://img14.360buyimg.com/n1/g17/M00/01/11/rBEbSlNxs5sIAAAAAACTr24cmycAAAgTwFoB-gAAJPH946.jpg,http://item.jd.com/1128654.html
TCL,TCL-360,,,,340,195,650,9.2,白色,,,,65,360,,佛山,6.0,"HEPA滤网,活性炭滤网",有,支持,支持,支持,有,-1,http://image.suning.cn/content/catentries/00000000010855/000000000108555246/fullimage/000000000108555246_1.jpg,http://product.suning.com/108555246.html
TCL,TKJ-F210B,,,,,,,5.5,白富美,,35.0,,45.0,,ABS,广东省佛山市,,,支持,true,,,true,,http://img11.360buyimg.com/n1/g16/M00/01/10/rBEbRVNrO1MIAAAAAAFdYnkkXwMAAAS2ADAY4YAAV16744.jpg,http://item.jd.com/1002996.html
TCL,TKJ-F220B,,,,,,,5.5,金色,,,,45.0,,ABS,佛山,,,支持,true,,,,,http://img14.360buyimg.com/n1/g16/M00/00/1F/rBEbRlNrAGsIAAAAAAEGWe_UaLAAAAMRAIocfEAAQZx658.jpg,http://item.jd.com/1001699.html
TCL,TKJ-F230B,,,,,,,4.8,白色,,,,50.0,,ABS,佛山南海,,,支持,true,true,,,,http://img11.360buyimg.com/n1/g16/M00/01/1C/rBEbRlNraEUIAAAAAAFGKfVuFh0AAAXfAHxWQcAAUZB793.jpg,http://item.jd.com/881171.html
TCL,TKJ-F230B,,,,350,160,480,4.8,白色,,,,50,,,佛山,,HEPA滤网,有,支持,支持,支持,有,-1,http://image.suning.cn/content/catentries/00000000010380/000000000103805626/fullimage/000000000103805626_1.jpg,http://product.suning.com/103805626.html
TCL,TKJ-F280B,,,,,,,6.8,白色,,45.0,,56.0,,ABS,佛山南海,,,支持,true,true,,true,,http://img11.360buyimg.com/n1/g16/M00/00/01/rBEbRlNpgA8IAAAAAAQEjBMHnp0AAAAjAGWWvgABASk148.jpg,http://item.jd.com/759941.html
TCL,TKJ-F280B,,,,,,,6.8,白色,,,,48,,,中国,6.0,"HEPA滤网,活性炭滤网",有,支持,不支持,支持,有,-1,http://image.suning.cn/content/catentries/00000000012090/000000000120905555/fullimage/000000000120905555_1.jpg,http://product.suning.com/120905555.html
TCL,TKJ-F300B,,,,,,,9.2,白色,,45.0,,60.0,,,佛山,,,,true,true,,true,,http://img10.360buyimg.com/n1/g13/M0A/01/00/rBEhUlNoO94IAAAAAAGCcOtIYd8AAM6UAKsKZQAAYKI266.jpg,http://item.jd.com/982240.html
TCL,TKJ-F300B,,,,645,338,195,9.2,白色,,,,60,300,,中国,6.0,活性炭滤网,有,支持,支持,支持,有,-1,http://image.suning.cn/content/catentries/00000000010607/000000000106073129/fullimage/000000000106073129_1.jpg,http://product.suning.com/106073129.html
TCL,TKJ-F330A,,,,645,338,195,9.2,黑色,,,,6,300,,中国广东,6.0,"HEPA滤网,活性炭滤网",有,支持,支持,支持,有,-1,http://image.suning.cn/content/catentries/00000000010915/000000000109153112/fullimage/000000000109153112_1.jpg,http://product.suning.com/109153112.html
TCL,TKX-F500,,,,625,430,260,12.5,金色,,,,45,,,广东,120.0,活性炭滤网,无,支持,支持,支持,有,-1,http://image.suning.cn/content/catentries/00000000012023/000000000120236219/fullimage/000000000120236219_1.jpg,http://product.suning.com/120236219.html
TMONA,MN-158,,,,570,330,170,3.9,白色,,,,45,400,,天津,12.0,"HEPA滤网,活性炭滤网",无,支持,不支持,支持,无,-1,http://image.suning.cn/content/catentries/00000000010801/000000000108017349/fullimage/000000000108017349_1.jpg,http://product.suning.com/108017349.html
TOYOTOMI（丰臣）,ETK-S50FC,,,,,,,7,白色,,,,95,5,,日本,48.0,"HEPA滤网,活性炭滤网",有,支持,不支持,支持,有,-1,http://image.suning.cn/content/catentries/00000000012086/000000000120865857/fullimage/000000000120865857_1.jpg,http://product.suning.com/120865857.html
UENON,UA-F101,,,,,,,,蓝色,,,,45,,,广东,1.0,活性炭滤网,,,,,有,-1,http://image.suning.cn/content/catentries/00000000010553/000000000105531006/fullimage/000000000105531006_1.jpg,http://product.suning.com/105531006.html
YALAN,KJXF 150*14-675*1,,,,730,270,60,1.1,黑色,,,,0,,,江苏苏州,120.0,活性炭滤网,无,不支持,不支持,不支持,无,-1,http://image.suning.cn/content/catentries/00000000010724/000000000107242404/fullimage/000000000107242404_1.jpg,http://product.suning.com/107242404.html
YALAN,KJXF-G 150*14-675*1,,,,675,150,60,1.1,黑色,,,,0,,,江苏苏州,120.0,活性炭滤网,无,不支持,不支持,支持,无,-1,http://image.suning.cn/content/catentries/00000000010725/000000000107257779/fullimage/000000000107257779_1.jpg,http://product.suning.com/107257779.html
YALAN,KJXF-Y,,,,675,150,60,1.1,黑色,,,,0,,,江苏苏州,120.0,活性炭滤网,无,不支持,不支持,不支持,无,-1,http://image.suning.cn/content/catentries/00000000010725/000000000107250896/fullimage/000000000107250896_1.jpg,http://product.suning.com/107250896.html
YALAN,KJXZ 350*11-525*1,,,,525,350,60,1.835,黑色,,,,0,,,江苏苏州,120.0,活性炭滤网,无,不支持,不支持,不支持,无,-1,http://image.suning.cn/content/catentries/00000000010724/000000000107243329/fullimage/000000000107243329_1.jpg,http://product.suning.com/107243329.html
YALAN,KJXZ-Y350*11-525*1,,,,525,350,60,1.84,黑色,,,,0,,,江苏苏州,120.0,活性炭滤网,无,不支持,不支持,不支持,无,-1,http://image.suning.cn/content/catentries/00000000010725/000000000107257938/fullimage/000000000107257938_1.jpg,http://product.suning.com/107257938.html
cado,AP-C100,,,,308,242,242,3.5,金色,,,,30,,,东莞,12.0,"HEPA滤网,活性炭滤网",有,不支持,支持,不支持,有,-1,http://image.suning.cn/content/catentries/00000000010721/000000000107212469/fullimage/000000000107212469_1.jpg,http://product.suning.com/107212469.html
cado,AP-C100-BK,,,,308,242,242,3.5,黑色,,,,30,,,深圳,1.0,HEPA滤网,有,不支持,不支持,不支持,有,-1,http://image.suning.cn/content/catentries/00000000010417/000000000104179486/fullimage/000000000104179486_1.jpg,http://product.suning.com/104179486.html
cado,AP-C100-GD,,,,308,242,242,3.5,金色,,,,30,,,深圳,1.0,HEPA滤网,有,不支持,不支持,不支持,有,-1,http://image.suning.cn/content/catentries/00000000010417/000000000104179488/fullimage/000000000104179488_1.jpg,http://product.suning.com/104179488.html
cado,AP-C100-SL,,,,308,242,242,3.5,银色,,,,30,,,深圳,1.0,HEPA滤网,有,不支持,不支持,不支持,有,-1,http://image.suning.cn/content/catentries/00000000010417/000000000104179487/fullimage/000000000104179487_1.jpg,http://product.suning.com/104179487.html
cado,AP-C300-GD,,,,580,350,230,9.7,金色,,,,10,,,深圳,12.0,"HEPA滤网,活性炭滤网",有,支持,不支持,支持,有,-1,http://image.suning.cn/content/catentries/00000000012077/000000000120771085/fullimage/000000000120771085_1.jpg,http://product.suning.com/120771085.html
cado,AP-C300E-BL,,,,580,350,23,9.7,蓝色,,,,10,,,深圳,12.0,"HEPA滤网,活性炭滤网",无,支持,不支持,支持,有,-1,http://image.suning.cn/content/catentries/00000000012077/000000000120772673/fullimage/000000000120772673_1.jpg,http://product.suning.com/120772673.html
cado,AP-C500,,,,714,423,297,16.5,黑色,,,,130,,,东莞,12.0,"HEPA滤网,活性炭滤网",有,不支持,不支持,支持,有,-1,http://image.suning.cn/content/catentries/00000000010721/000000000107210634/fullimage/000000000107210634_1.jpg,http://product.suning.com/107210634.html
cado,AP-C500-BK,,,,714,297,423,17.5,黑色,,,,155,,,深圳,1.0,HEPA滤网,有,不支持,不支持,支持,有,-1,http://image.suning.cn/content/catentries/00000000010417/000000000104179490/fullimage/000000000104179490_1.jpg,http://product.suning.com/104179490.html
cado,AP-C500-WH,,,,714,297,423,17.5,白色,,,,155,,,深圳,1.0,HEPA滤网,有,不支持,不支持,支持,有,-1,http://image.suning.cn/content/catentries/00000000010417/000000000104179491/fullimage/000000000104179491_1.jpg,http://product.suning.com/104179491.html
cado,Cado AP-C100,,,,308,242,242,3.5,黑色，银色，香槟金,,,,30,120,,,,,,,,,,,http://2e.zol-img.com.cn/product/134_160x120/788/ce2sSiO7FDL6.jpg,http://detail.zol.com.cn//381/380645/param.shtml
cado,Cado C700,,,,714,423,297,18,不锈钢银色,,,,16,830,,,,,,,,,,,http://2e.zol-img.com.cn/product/134_160x120/842/ceXLu0ocZLXNA.jpg,http://detail.zol.com.cn//381/380647/param.shtml
iAir,LY868C,,,,493,194,698,10,白色,,,,75,,,上海,12.0,"HEPA滤网,活性炭滤网",有,支持,支持,支持,有,-1,http://image.suning.cn/content/catentries/00000000010923/000000000109237081/fullimage/000000000109237081_1.jpg,http://product.suning.com/109237081.html
sheeraire席爱尔,AC-2041,,,,300,150,360,3.34,白色,,,,64,,,台湾,12.0,"HEPA滤网,活性炭滤网",有,支持,不支持,不支持,无,-1,http://image.suning.cn/content/catentries/00000000010730/000000000107302405/fullimage/000000000107302405_1.jpg,http://product.suning.com/107302405.html
sheeraire席爱尔,AC-2103,,,,305,180,370,3.98,白色,,,,60,,,台湾,12.0,"HEPA滤网,活性炭滤网",有,支持,不支持,不支持,无,-1,http://image.suning.cn/content/catentries/00000000010729/000000000107290944/fullimage/000000000107290944_1.jpg,http://product.suning.com/107290944.html
sheeraire席爱尔,AC-2104,,,,435,180,410,6.4,白色,,,,56,,,台湾,12.0,"HEPA滤网,活性炭滤网",有,支持,不支持,不支持,无,-1,http://image.suning.cn/content/catentries/00000000010729/000000000107292273/fullimage/000000000107292273_1.jpg,http://product.suning.com/107292273.html
sheeraire席爱尔,AC-2105,,,,565,210,475,8.81,白色,,,,91,,,台湾,12.0,"HEPA滤网,活性炭滤网",有,支持,不支持,不支持,无,-1,http://image.suning.cn/content/catentries/00000000010729/000000000107292465/fullimage/000000000107292465_1.jpg,http://product.suning.com/107292465.html
sheeraire席爱尔,AC-2106,,,,260,195,715,7.58,白色,,,,77,,,苏州,12.0,"HEPA滤网,活性炭滤网",有,支持,支持,支持,有,-1,http://image.suning.cn/content/catentries/00000000010730/000000000107305315/fullimage/000000000107305315_1.jpg,http://product.suning.com/107305315.html
万利达,KJ-263D,,,,,,,40,白色,,,,900,,,福建,12.0,"HEPA滤网,活性炭滤网",有,支持,支持,支持,有,-1,http://image.suning.cn/content/catentries/00000000010966/000000000109669578/fullimage/000000000109669578_1.jpg,http://product.suning.com/109669578.html
万利达,KJ-481D,,,,,,,50,金色,,,,1200,,,福建,12.0,"HEPA滤网,活性炭滤网",有,支持,支持,支持,有,-1,http://image.suning.cn/content/catentries/00000000010967/000000000109670374/fullimage/000000000109670374_1.jpg,http://product.suning.com/109670374.html
万利达,KJ-953,,,,,,,40,白色,,,,600,,,福建,12.0,"HEPA滤网,活性炭滤网",有,支持,支持,支持,有,-1,http://image.suning.cn/content/catentries/00000000010966/000000000109669537/fullimage/000000000109669537_1.jpg,http://product.suning.com/109669537.html
万利达,kJ-286D,,,,,,,45,黑色,,,,56,,,福建,12.0,"HEPA滤网,活性炭滤网,无",有,支持,支持,支持,有,-1,http://image.suning.cn/content/catentries/00000000010964/000000000109647773/fullimage/000000000109647773_1.jpg,http://product.suning.com/109647773.html
万利达,kj-260,,,,,,,5,白色,,,,45,,,福建,12.0,"HEPA滤网,活性炭滤网",有,支持,支持,支持,有,-1,http://image.suning.cn/content/catentries/00000000010964/000000000109645704/fullimage/000000000109645704_1.jpg,http://product.suning.com/109645704.html
万利达,kj-286D,,,,,,,45,黑色,,,,40,,,福建,12.0,"HEPA滤网,活性炭滤网",有,支持,支持,支持,有,-1,http://image.suning.cn/content/catentries/00000000010964/000000000109647097/fullimage/000000000109647097_1.jpg,http://product.suning.com/109647097.html
万家乐,KJFF1-300,,,,550,450,450,7.32,灰色,,,,55,258,,顺德,16.0,"HEPA滤网,活性炭滤网",无,不支持,支持,支持,无,-1,http://image.suning.cn/content/catentries/00000000010731/000000000107312533/fullimage/000000000107312533_1.jpg,http://product.suning.com/107312533.html
万家乐,KJFP1-300,,,,500,410,410,7.32,黄色,,,,55,258,,顺德,16.0,"HEPA滤网,活性炭滤网",无,不支持,支持,支持,无,-1,http://image.suning.cn/content/catentries/00000000010731/000000000107313734/fullimage/000000000107313734_1.jpg,http://product.suning.com/107313734.html
万家乐,KJFQ1-136,,,,407,360,153,3.88,白色,,,,25,173,,顺德,16.0,"HEPA滤网,活性炭滤网",有,支持,不支持,支持,有,-1,http://image.suning.cn/content/catentries/00000000010731/000000000107310746/fullimage/000000000107310746_1.jpg,http://product.suning.com/107310746.html
万家乐,KJFQ1-136,,,,,,,3.88,绿色,,,,25,173,,顺德,16.0,"HEPA滤网,活性炭滤网",有,支持,不支持,支持,有,-1,http://image.suning.cn/content/catentries/00000000010730/000000000107309110/fullimage/000000000107309110_1.jpg,http://product.suning.com/107309110.html
万家乐,KJFT3-306,,,,560,440,209,7.36,灰色,,,,60,355,,顺德,16.0,"HEPA滤网,活性炭滤网",有,支持,不支持,支持,有,-1,http://image.suning.cn/content/catentries/00000000010731/000000000107310744/fullimage/000000000107310744_1.jpg,http://product.suning.com/107310744.html
万家乐,KJFT7-270,,,,680,335,175,10,金色,,,,50,400,,顺德,16.0,"HEPA滤网,活性炭滤网",有,支持,支持,支持,有,-1,http://image.suning.cn/content/catentries/00000000010731/000000000107315470/fullimage/000000000107315470_1.jpg,http://product.suning.com/107315470.html
万家乐,KJFV3-306,,,,560,440,209,7.63,白色,,,,55,360,,顺德,16.0,"HEPA滤网,活性炭滤网",有,支持,不支持,支持,有,-1,http://image.suning.cn/content/catentries/00000000010730/000000000107303816/fullimage/000000000107303816_1.jpg,http://product.suning.com/107303816.html
万家乐,KJFV7-136,,,,420,335,175,6.7,金色,,,,30,,,顺德,16.0,"HEPA滤网,活性炭滤网",有,支持,支持,支持,有,-1,http://image.suning.cn/content/catentries/00000000010731/000000000107316542/fullimage/000000000107316542_1.jpg,http://product.suning.com/107316542.html
三戟,SJ-803 ,,,,510,290,160,3.45,金色,,,,45,,,慈溪,36.0,"HEPA滤网,活性炭滤网",无,不支持,支持,支持,无,-1,http://image.suning.cn/content/catentries/00000000012081/000000000120813053/fullimage/000000000120813053_1.jpg,http://product.suning.com/120813053.html
三戟,SJ-804 ,,,,510,290,160,4,银色,,,,50,175,,慈溪,36.0,"HEPA滤网,活性炭滤网",无,支持,支持,支持,无,-1,http://image.suning.cn/content/catentries/00000000012081/000000000120818737/fullimage/000000000120818737_1.jpg,http://product.suning.com/120818737.html
三戟,三戟SJ-802,,,,337,218,150,0.91,红色,,,,10,,,慈溪,36.0,"HEPA滤网,活性炭滤网",无,不支持,不支持,支持,无,-1,http://image.suning.cn/content/catentries/00000000012085/000000000120856815/fullimage/000000000120856815_1.jpg,http://product.suning.com/120856815.html
三戟,三戟SJ-802,,,,337,218,150,0.91,蓝色,,,,10,,,慈溪,36.0,"HEPA滤网,活性炭滤网",有,不支持,不支持,支持,无,-1,http://image.suning.cn/content/catentries/00000000012087/000000000120875060/fullimage/000000000120875060_1.jpg,http://product.suning.com/120875060.html
三戟,三戟SJ-802,,,,337,218,150,0.91,黄色,,,,10,,,慈溪,36.0,"HEPA滤网,活性炭滤网",无,不支持,不支持,不支持,无,-1,http://image.suning.cn/content/catentries/00000000012087/000000000120875488/fullimage/000000000120875488_1.jpg,http://product.suning.com/120875488.html
三戟,三戟SJ-804 ,,,,510,290,160,4,红色,,,,50,,,慈溪,36.0,"HEPA滤网,活性炭滤网",无,支持,支持,支持,无,-1,http://image.suning.cn/content/catentries/00000000012081/000000000120819266/fullimage/000000000120819266_1.jpg,http://product.suning.com/120819266.html
三戟,三戟SJ-804 ,,,,560,350,220,4,红色,,,,50,,,慈溪,36.0,"HEPA滤网,活性炭滤网",无,支持,支持,支持,无,-1,http://image.suning.cn/content/catentries/00000000012085/000000000120851027/fullimage/000000000120851027_1.jpg,http://product.suning.com/120851027.html
三戟,三戟SJ-805 ,,,,585,335,190,5.19,白色,,,,50,,,慈溪,12.0,"HEPA滤网,活性炭滤网",无,不支持,支持,支持,有,-1,http://image.suning.cn/content/catentries/00000000012089/000000000120891639/fullimage/000000000120891639_1.jpg,http://product.suning.com/120891639.html
三戟,三戟SJ-805 ,,,,,,,5.19,粉色,,,,50,,,慈溪,12.0,"HEPA滤网,活性炭滤网",无,不支持,支持,支持,有,-1,http://image.suning.cn/content/catentries/00000000012089/000000000120892671/fullimage/000000000120892671_1.jpg,http://product.suning.com/120892671.html
三星,041,,,,362,749,213,7,白色,,,,34,,,韩国,6.0,"HEPA滤网,活性炭滤网",有,支持,不支持,支持,有,-1,http://image.suning.cn/content/catentries/00000000010783/000000000107837853/fullimage/000000000107837853_1.jpg,http://product.suning.com/107837853.html
三星,AC-347HPAWQ/SC,,,,274,450,478,11.8,水晶白,,,,36.0,,,韩国,,,支持,true,,,true,,http://img12.360buyimg.com/n1/g13/M0A/00/1F/rBEhVFNoMV4IAAAAAAF-5fTuFXgAAM5wQNHD5YAAX79659.jpg,http://item.jd.com/1032442.html
